PMCID,Field,JSON_Value,TSV_Value
PMC7816443,publication/journal,BioData Mining,BioData mining
PMC11751442,publication/title,Neural reshaping: the plasticity of human brain and artificial intelligence in the learning process,Neural reshaping: the plasticity of human brain and artificial intelligence in the learning process.
PMC11751442,publication/authors,"The authors who contributed to this article are:

Seyed-Ali Sadegh-Zadeh, who is affiliated with the Department of Computing, School of Digital, Technologies and Arts, Staffordshire University. He likely played a significant role in the computational and technical aspects of the research, including the design and implementation of machine learning experiments.

Mahboobe Bahrami, associated with the Behavioral Sciences Research Centre, School of Medicine, Isfahan University of Medical Sciences. Her expertise likely contributed to the behavioral and cognitive aspects of the study, particularly in understanding human brain plasticity.

Ommolbanin Soleimani, from the Department of Psychology, University of Shahab Danesh. She probably provided insights into the psychological dimensions of learning and neural plasticity.

Sahar Ahmadi, affiliated with the School of Electrical Engineering, Iran University of Science and Technology. Her background in electrical engineering likely aided in the technical implementation and analysis of the neural network models used in the study.","Sadegh-Zadeh SA, Bahrami M, Soleimani O, Ahmadi S"
PMC11751442,publication/journal,American Journal of Neurodegenerative Disease,American journal of neurodegenerative disease
PMC11751442,publication/doi,10.62347/NHKD7661,10.62347/nhkd7661
PMC11845296,publication/title,Not enough information is available.,Combinatorial mapping of E3 ubiquitin ligases to their target substrates.
PMC11845296,publication/authors,Not enough information is available.,"Suiter CC, Calderon D, Lee DS, Chiu M, Jain S, Chardon FM, Lee C, Daza RM, Trapnell C, Zheng N, Shendure J"
PMC11845296,publication/journal,Mol Cell,Molecular cell
PMC11845296,publication/year,2019,2025
PMC11845296,publication/doi,Not enough information is available.,10.1016/j.molcel.2025.01.016
PMC7842780,publication/title,Sequence Alignment Using Machine Learning for Accurate Template-based Protein Structure Prediction,Sequence Alignment Using Machine Learning for Accurate Template-based Protein Structure Prediction.
PMC7842780,publication/authors,"The authors of this article are Shuichiro Makigaki and Takashi Ishida. Both authors are affiliated with the School of Computing at the Tokyo Institute of Technology in Japan.

Shuichiro Makigaki and Takashi Ishida are the primary contributors to this work. They developed a new method for generating pairwise sequence alignments to improve the accuracy of template-based protein structure prediction. Their method involves training a machine learning model using structural alignments of known homologs and dynamically predicting substitution scores during sequence alignment. This approach aims to enhance the accuracy of template-based models, particularly when dealing with remote homologs.

For correspondence regarding this article, readers can contact Shuichiro Makigaki at makigaki@cb.cs.titech.ac.jp or Takashi Ishida at ishida@c.titech.ac.jp.","Makigaki S, Ishida T"
PMC7842780,publication/doi,10.21769/BioProtoc.3600,10.21769/bioprotoc.3600
PMC6398873,publication/title,Gut microbiome meta-analysis reveals dysbiosis is independent of body mass index in predicting risk of obesity-associated CRC,Gut microbiome meta-analysis reveals dysbiosis is independent of body mass index in predicting risk of obesity-associated CRC.
PMC6398873,publication/authors,"The authors who contributed to the article are:

K. Leigh Greathouse, who is associated with the Nutrition Sciences Division, Robbins College of Health and Human Science, Baylor University. Greathouse is the corresponding author for this paper.

James Robert White, affiliated with Resphera Biosciences, Baltimore, MD, USA.

R. Noah Padgett, from the Department of Educational Psychology, Baylor University.

Brittany G Perrotta, from the Department of Biology, Baylor University.

Gregory D Jenkins, associated with the Department of Surgery and Department of Physiology and Biomedical Engineering, Mayo Clinic.

Nicholas Chia, affiliated with the Department of Surgery and Department of Physiology and Biomedical Engineering, Mayo Clinic.

Jun Chen, from the Division of Biomedical Statistics and Informatics, Department of Health Sciences Research, Mayo Clinic.","Greathouse KL, White JR, Padgett RN, Perrotta BG, Jenkins GD, Chia N, Chen J"
PMC6398873,publication/journal,BMJ Gastroenterology,BMJ open gastroenterology
PMC6398873,publication/year,2018,2019
PMC6398873,publication/doi,Not enough information is available,10.1136/bmjgast-2018-000247
PMC8080676,publication/title,Not enough information is available,Practical prediction model of the clinical response to programmed death-ligand 1 inhibitors in advanced gastric cancer.
PMC8080676,publication/authors,Not enough information is available.,"Noh MG, Yoon Y, Kim G, Kim H, Lee E, Kim Y, Park C, Lee KH, Park H"
PMC8080676,publication/journal,Experimental & Molecular Medicine,Experimental & molecular medicine
PMC8080676,publication/doi,Not enough information is available.,10.1038/s12276-021-00559-1
PMC7550141,publication/title,Deep Learning for Acute Myeloid Leukemia Diagnosis,Deep Learning for Acute Myeloid Leukemia Diagnosis.
PMC7550141,publication/authors,"The authors who contributed to this article are:

- Elham Nazari, affiliated with the Department of Medical Informatics, Faculty of Medicine, Mashhad University of Medical Sciences, Mashhad, Iran.
- Amir Hossein Farzin, affiliated with the Department of Computer Engineering, Khayyam University, Mashhad, Iran.
- Mehran Aghemiri, affiliated with the Department of Medical Informatics, Faculty of Medical Sciences, Tarbiat Modares University, Tehran, Iran.
- Amir Avan, affiliated with the Molecular Medicine Group, Department of Modern Sciences and Technologies, School of Medicine, Mashhad University of Medical Sciences, Mashhad, Iran.
- Mahmood Tara, affiliated with the Department of Medical Informatics, Faculty of Medicine, Mashhad University of Medical Sciences, Mashhad, Iran.
- Hamed Tabesh, affiliated with the Department of Medical Informatics, Faculty of Medicine, Mashhad University of Medical Sciences, Mashhad, Iran. He is the corresponding author and can be contacted via phone at +98 51 38002536, fax at +98 51 38002445, or email at Tabeshh@mums.ac.Ir.","Nazari E, Farzin AH, Aghemiri M, Avan A, Tara M, Tabesh H"
PMC7550141,publication/journal,Journal of Medicine and Life,Journal of medicine and life
PMC9641193,publication/title,Associations Between Maternal Obesity and Offspring Gut Microbiome in the First Year of Life,Associations between maternal obesity and offspring gut microbiome in the first year of life.
PMC9641193,publication/authors,Not enough information is available.,"Gilley SP, Ruebel ML, Sims C, Zhong Y, Turner D, Lan RS, Pack LM, Piccolo BD, Chintapalli SV, Abraham A, Bode L, Andres A, Shankar K"
PMC9641193,publication/journal,Pediatr Obes.,Pediatric obesity
PMC9641193,publication/year,2023,2022
PMC10878338,publication/title,Not enough information is available.,Machine learning-based prediction of in-hospital mortality for critically ill patients with sepsis-associated acute kidney injury.
PMC10878338,publication/authors,"The authors who contributed to this article are:

- Ling Pan: Study design, data analysis, and manuscript revision.
- Tao Gao: Study design, data extraction, and manuscript writing.
- Zhen Ning: Study design, data extraction, and manuscript writing.
- Yajuan Li: Study design and manuscript revision.
- Mingming Ma: Study design and manuscript revision.
- Zhen Chen: Data extraction and manuscript revision.
- Zhen Yang: Data extraction and manuscript revision.

All authors read and approved the final manuscript.","Gao T, Nong Z, Luo Y, Mo M, Chen Z, Yang Z, Pan L"
PMC10878338,publication/journal,Not enough information is available,Renal failure
PMC10878338,publication/doi,Not enough information is available.,10.1080/0886022x.2024.2316267
PMC8301183,publication/title,A Machine Learning Algorithm for Quantitatively Diagnosing Oxidative Stress Risks in Healthy Adult Individuals Based on Health Space Methodology: A Proof-of-Concept Study Using Korean Cross-Sectional Cohort Data,A Machine Learning Algorithm for Quantitatively Diagnosing Oxidative Stress Risks in Healthy Adult Individuals Based on Health Space Methodology: A Proof-of-Concept Study Using Korean Cross-Sectional Cohort Data.
PMC8301183,publication/authors,"The authors who contributed to the article are as follows:

O.K. and J.B. were involved in the conceptualization of the study.

Y.K. (Youjin Kim) contributed to the methodology and statistical analysis.

Y.K. (Yunsoo Kim) and T.J.v.d.B. also contributed to the methodology and statistical analysis.

B.O. provided resources for the study.

Y.K. (Yunsoo Kim) and J.H. were responsible for the formal analysis.

Y.K. (Yunsoo Kim) handled the visualization aspects of the study.

The original draft of the manuscript was prepared by Y.K. (Youjin Kim) and Y.K. (Yunsoo Kim).

S.W., J.Y.K., J.B., and O.K. were involved in reviewing and editing the manuscript.

All authors have read and agreed to the published version of the manuscript.","Kim Y, Kim Y, Hwang J, van den Broek TJ, Oh B, Kim JY, Wopereis S, Bouwman J, Kwon O"
PMC8301183,publication/journal,Antioxidants,"Antioxidants (Basel, Switzerland)"
PMC8455450,publication/title,Not enough information is available.,Improving Outcome Predictions for Patients Receiving Mechanical Circulatory Support by Optimizing Imputation of Missing Values.
PMC8455450,publication/authors,"The authors who contributed to the article are:

- Jaeger, BC
- Not sure

The specific contributions of each author are not detailed.","Jaeger BC, Cantor R, Sthanam V, Xie R, Kirklin JK, Rudraraju R"
PMC8455450,publication/journal,Circ Cardiovasc Qual Outcomes,Circulation. Cardiovascular quality and outcomes
PMC8455450,publication/year,2022,2021
PMC8455450,publication/doi,10.21105/joss.01686,10.1161/circoutcomes.120.007071
PMC9588865,publication/title,人工智能在锥形束计算机断层扫描影像中识别慢性根尖周炎根尖区病变的应用,Use and performance of artificial intelligence applications in the diagnosis of chronic apical periodontitis based on cone beam computed tomography imaging.
PMC9588865,publication/authors,"The authors who contributed to the article are:

- Qian Jun
- Ma Rui
- Qu Yan
- Deng Shaochun
- Duan Yao
- Zuo Feifei
- Wang Yajie
- Wu Yuwei

Wu Yuwei is the corresponding author and can be contacted at yuweiwu@bjmu.edu.cn. The contributions of the other authors are not specified.","Qian J, Ma R, Qu Y, Deng S, Duan Y, Zuo F, Wang Y, Wu Y"
PMC9588865,publication/journal,West China Journal of Stomatology,Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology
PMC6536474,publication/title,Colorectal cancer and adenoma screening using urinary volatile organic compound (VOC) detection – Early results from a single centre bowel screening population (UK BCSP),Colorectal cancer and adenoma screening using urinary volatile organic compound (VOC) detection: early results from a single-centre bowel screening population (UK BCSP).
PMC6536474,publication/authors,"The authors who contributed to the article are:

- Mozdiak, Ella
- Wicaksono, Arief Nur
- Covington, James A.
- Arasaradnam, Ramesh P.

The corresponding author is Ella Mozdiak. The specific contributions of each author to the paper are not detailed.","Mozdiak E, Wicaksono AN, Covington JA, Arasaradnam RP"
PMC6536474,publication/journal,Techniques in Coloproctology,Techniques in coloproctology
PMC6536474,publication/doi,Not enough information is available.,10.1007/s10151-019-01963-6
PMC9338198,publication/title,Construction of an Assisted Model Based on Natural Language Processing for Automatic Early Diagnosis of Autoimmune Encephalitis,Construction of an Assisted Model Based on Natural Language Processing for Automatic Early Diagnosis of Autoimmune Encephalitis.
PMC9338198,publication/authors,"The authors who contributed to the article are:

- Yunsong Zhao
- Bin Ren
- Wenjin Yu
- Haijun Zhang
- Di Zhao
- Junchao Lv
- Zhen Xie
- Kun Jiang
- Lei Shang
- Han Yao
- Yongyong Xu
- Gang Zhao

All authors contributed to the study conception and design. Yunsong Zhao, Bin Ren, and Wenjin Yu were the primary authors of the article. Yunsong Zhao, Bin Ren, and Lei Shang contributed to data analyses. Yunsong Zhao, Wenjin Yu, Kun Jiang, and Han Yao contributed to data acquisition, data interpretation, and manuscript preparation. Haijun Zhang, Di Zhao, Junchao Lv, and Zhen Xie contributed significantly to the text annotation and review of the electronic medical records. Yongyong Xu and Gang Zhao made substantial contributions to the conception and design of the study and revised the article critically for important intellectual content. All authors commented on the previous versions of the manuscript and read and approved the final manuscript.","Zhao Y, Ren B, Yu W, Zhang H, Zhao D, Lv J, Xie Z, Jiang K, Shang L, Yao H, Xu Y, Zhao G"
PMC9338198,publication/journal,Neurological Therapies,Neurology and therapy
PMC9338198,publication/doi,Not enough information is available.,10.1007/s40120-022-00355-7
PMC6216033,publication/title,Not enough information is available.,BERMP: a cross-species classifier for predicting m<sup>6</sup>A sites by integrating a deep learning algorithm and a random forest approach.
PMC6216033,publication/authors,Not enough information is available.,"Huang Y, He N, Chen Y, Chen Z, Li L"
PMC6216033,publication/journal,International Journal of Biological Sciences,International journal of biological sciences
PMC6216033,publication/doi,Not enough information is available.,10.7150/ijbs.27819
PMC10290467,publication/title,Not enough information is available.,Using Natural Language Processing and Machine Learning to Identify Opioids in Electronic Health Record Data.
PMC10290467,publication/authors,"The authors of this article are McDermott and Wasan. Additionally, Andrea G. Gillman, Ph.D., contributed to the data collection and study design, including medication classification and data acquisition.","McDermott SP, Wasan AD"
PMC10290467,publication/journal,Journal of Pain Research,Journal of pain research
PMC10290467,publication/doi,https://doi.org/10.2147/JPR.S389160,10.2147/jpr.s389160
PMC11075076,publication/title,Not enough information is available.,Radiomics analysis for prediction and classification of submucosal tumors based on gastrointestinal endoscopic ultrasonography.
PMC11075076,publication/authors,Not enough information is available.,"Zhou H, Wei G, Wu J"
PMC11075076,publication/journal,Not enough information is available.,DEN open
PMC11075076,publication/year,2023,2025
PMC11075076,publication/doi,Not enough information is available,10.1002/deo2.374
PMC10686164,publication/title,Machine learning‐based prognostic and metastasis models of kidney cancer,Machine learning-based prognostic and metastasis models of kidney cancer.
PMC10686164,publication/authors,"The authors who contributed to the article are:

- Yuxiang Zhang: Methodology; writing—original draft; writing—review and editing.
- Na Hong: Data curation; methodology; writing—review and editing.
- Sida Huang: Formal analysis.
- Jie Wu: Methodology.
- Jianwei Gao: Data curation; software.
- Zheng Xu: Software.
- Fubo Zhang: Software.
- Shaohui Ma: Writing—original draft.
- Ye Liu: Writing—original draft.
- Peiyuan Sun: Software.
- Yanping Tang: Supervision.
- Chun Liu: Data curation; software.
- Jianzhong Shou: Writing—review and editing.
- Meng Chen: Conceptualization; project administration; resources; supervision; writing—review and editing.","Zhang Y, Hong N, Huang S, Wu J, Gao J, Xu Z, Zhang F, Ma S, Liu Y, Sun P, Tang Y, Liu C, Shou J, Chen M"
PMC10686164,publication/journal,Cancer Innovation,Cancer innovation
PMC11781752,publication/title,Adaptive Brain Strain and Strain Rate Estimators for Traumatic Brain Injury Detection Using Domain Adaptation,Adaptive Machine Learning Head Model Across Different Head Impact Types Using Unsupervised Domain Adaptation and Generative Adversarial Networks.
PMC11781752,publication/authors,Not enough information is available.,"Zhan X, Sun J, Liu Y, Cecchi NJ, Le Flao E, Gevaert O, Zeineh MM, Camarillo DB"
PMC11781752,publication/journal,IEEE Sens J.,IEEE sensors journal
PMC11781752,publication/year,2022,2024
PMC11781752,publication/doi,Not enough information is available.,10.1109/jsen.2023.3349213
PMC11148103,publication/title,Not enough information is available,SOFB is a comprehensive ensemble deep learning approach for elucidating and characterizing protein-nucleic-acid-binding residues.
PMC11148103,publication/authors,"The authors who contributed to this article are:

- B.Z. conducted the experiments.
- X.L., B.Z. and H.Z. did the biological interpretation.
- B.Z., X.L., and H.Z. revised the manuscript.
- Z.H., Y.Y. and K.W. provided advice in method development.
- All authors approved the manuscript.","Zhang B, Hou Z, Yang Y, Wong KC, Zhu H, Li X"
PMC11148103,publication/journal,Communications Biology,Communications biology
PMC11531712,publication/title,A Random Survival Forest Model for Predicting Residual and Recurrent High-Grade Cervical Intraepithelial Neoplasia in Premenopausal Women,A Random Survival Forest Model for Predicting Residual and Recurrent High-Grade Cervical Intraepithelial Neoplasia in Premenopausal Women.
PMC11531712,publication/authors,"The authors who contributed to the article are:

- Zhai et al. The specific names of the authors are not provided, but the lead author's last name is Zhai.
- The authors thank all the doctors and participants involved in the study.
- The authors also extend thanks to Bullet Edits Company for professional language improvement.
- The authors declare no competing interests.

Not applicable.","Zhai F, Mu S, Song Y, Zhang M, Zhang C, Lv Z"
PMC11531712,publication/journal,International Journal of Women’s Health,International journal of women's health
PMC11531712,publication/doi,https://doi.org/10.2147/IJWH.S485515,10.2147/ijwh.s485515
PMC8250466,publication/title,Classification and analysis of outcome predictors in non-critically ill COVID-19 patients,Classification and analysis of outcome predictors in non-critically ill COVID-19 patients.
PMC8250466,publication/authors,"The authors who contributed to the article are:

- Sergio Venturini
- Daniele Orso
- Francesco Cugini
- Massimo Crapis
- Sara Fossati
- Astrid Callegari
- Tommaso Pellis
- Maurizio Tonizzo
- Alessandro Grembiale
- Alessia Rosso
- Mario Tamburrini
- Natascia D’Andrea
- Luigi Vetrugno
- Tiziana Bove

Not sure about the specific contributions of each author to the paper.","Venturini S, Orso D, Cugini F, Crapis M, Fossati S, Callegari A, Pellis T, Tonizzo M, Grembiale A, Rosso A, Tamburrini M, D'Andrea N, Vetrugno L, Bove T"
PMC8250466,publication/journal,Internal Medicine Journal,Internal medicine journal
PMC8250466,publication/doi,Not enough information is available.,10.1111/imj.15140
PMC11215832,publication/title,Improving the accuracy of genomic prediction in dairy cattle using the biologically annotated neural networks framework,Improving the accuracy of genomic prediction in dairy cattle using the biologically annotated neural networks framework.
PMC11215832,publication/authors,"The authors who contributed to this article are:

- YZ and ZZ, who designed and supervised the study.
- XW, who wrote the program, analyzed the data, and wrote the manuscript.
- SLS and MYAK, who provided help on language polishing.
- SLS, YZ, and ZZ, who revised the manuscript.
- All authors read and approved the final manuscript.","Wang X, Shi S, Ali Khan MY, Zhang Z, Zhang Y"
PMC11215832,publication/journal,Journal of Animal Science and Biotechnology,Journal of animal science and biotechnology
PMC11215832,publication/doi,https://doi.org/10.1186/s40104-024-01044-1,10.1186/s40104-024-01044-1
PMC9512095,publication/title,Evaluation of predictive models to determine total morbidity outcome of feedlot cattle based on cohort-level feed delivery data during the first 15 days on feed,Evaluation of predictive models to determine total morbidity outcome of feedlot cattle based on cohort-level feed delivery data during the first 15 days on feed.
PMC9512095,publication/authors,"The authors who contributed to the article are:

L. Heinen, who was involved in the research and writing of the paper.

P. A. Lancaster, who was the corresponding author and likely played a significant role in the study's design, data analysis, and manuscript preparation.

B. J. White, who contributed to the research and writing of the paper.

E. Zwiefel, who was part of the Machine Learning Global Black Belt Team at Microsoft Corporation and likely contributed expertise in machine learning and data analysis.","Heinen L, Lancaster PA, White BJ, Zwiefel E"
PMC9512095,publication/journal,Translational Animal Science,Translational animal science
PMC9731601,publication/title,Application of back propagation neural network model optimized by particle swarm algorithm in predicting the risk of hypertension,Application of back propagation neural network model optimized by particle swarm algorithm in predicting the risk of hypertension.
PMC9731601,publication/authors,"The authors who contributed to the article are:

- Yan Yan, who designed the research and wrote the manuscript.
- Rong Chen, who contributed to study design, data collection, and review of the manuscript, and finished the final version.
- Zihua Yang, who contributed to study design, data collection, and review of the manuscript.
- Yong Ma, who contributed to study design, data collection, and review of the manuscript.
- Jialu Huang, who contributed to study design, data collection, and review of the manuscript.
- Ling Luo, who contributed to study design, data collection, and review of the manuscript.
- Hao Liu, who contributed to study design, data collection, and review of the manuscript.
- Jian Xu, who contributed to study design, data collection, and review of the manuscript.
- Weiying Chen, who contributed to study design, data collection, and review of the manuscript.
- Yuanlin Ding, who critically reviewed the manuscript and put forward modification opinions.
- Danli Kong, who critically reviewed the manuscript and put forward modification opinions.
- Qiaoli Zhang, who critically reviewed the manuscript and put forward modification opinions.
- Haibing Yu, who critically reviewed the manuscript and put forward modification opinions.","Yan Y, Chen R, Yang Z, Ma Y, Huang J, Luo L, Liu H, Xu J, Chen W, Ding Y, Kong D, Zhang Q, Yu H"
PMC9731601,publication/journal,Journal of Clinical Hypertension,"Journal of clinical hypertension (Greenwich, Conn.)"
PMC9731601,publication/doi,https://doi.org/10.1111/jch.14597,10.1111/jch.14597
PMC8808003,publication/title,Using Machine Learning to Predict Remission in Patients With Major Depressive Disorder Treated With Desvenlafaxine,Using Machine Learning to Predict Remission in Patients With Major Depressive Disorder Treated With Desvenlafaxine.
PMC8808003,publication/authors,"The authors who contributed to the article are:

- James R.A. Benoit
- Raymond W. Lam
- Benjamin Chekroud
- Sarah Deneault
- Andrew Greiner
- Roger S. McIntyre
- J. Brent Borden
- Robert G. Franks
- Michael Berk

Not sure about the specific contributions of each author to the paper.","Benoit JRA, Dursun SM, Greiner R, Cao B, Brown MRG, Lam RW, Greenshaw AJ"
PMC8808003,publication/journal,La Revue Canadienne de Psychiatrie,Canadian journal of psychiatry. Revue canadienne de psychiatrie
PMC8246604,publication/title,25(OH)D and functional outcomes in older adults,Sex-specific 25-hydroxyvitamin D threshold concentrations for functional outcomes in older adults: PRoject on Optimal VItamin D in Older adults (PROVIDO).
PMC8246604,publication/authors,"The authors who contributed to the article are:

Michelle Shardell, who is affiliated with the Institute for Genome Sciences and the Department of Epidemiology and Public Health at the University of Maryland School of Medicine. She likely played a significant role in the study's design, data analysis, and manuscript preparation.

Anne R Cappola, from the University of Pennsylvania School of Medicine, contributed to the study, likely focusing on the clinical aspects and interpretation of the results.

Jack M Guralnik, affiliated with the Department of Epidemiology and Public Health at the University of Maryland School of Medicine, likely contributed to the epidemiological design and analysis of the study.

Gregory E Hicks, from the Department of Physical Therapy at the University of Delaware, likely focused on the physical function assessments and outcomes.

Stephen B Kritchevsky, from the Sticht Center for Healthy Aging and Alzheimer’s Prevention at Wake Forest School of Medicine, contributed to the study, likely focusing on aging and health outcomes.

Eleanor M Simonsick, from the National Institute on Aging, likely contributed to the study's design and data interpretation, focusing on aging and health outcomes.

Luigi Ferrucci, also from the National Institute on Aging, likely played a significant role in the study's design, data analysis, and interpretation, focusing on aging and health outcomes.

Richard D Semba, from the Wilmer Eye Institute at Johns Hopkins University School of Medicine, likely contributed to the study, focusing on nutritional aspects and their impact on health outcomes.

Nancy Chiles Shaffer, from the National Institute on Aging, likely contributed to the study's design and data interpretation, focusing on aging and health outcomes.

Tamara Harris, also from the National Institute on Aging, likely played a significant role in the study's design, data analysis, and interpretation, focusing on aging and health outcomes.

Gudny Eiriksdottir, from the Icelandic Heart Association, likely contributed to the study, focusing on the Icelandic cohort and data collection.

Vilmundur Gudnason, also from the Icelandic Heart Association, likely played a significant role in the study, focusing on the Icelandic cohort and data collection.

Mary Frances Cotch, from the National Eye Institute, likely contributed to the study, focusing on the design and interpretation of the results.

Eric Orwoll, from Oregon Health & Science University, likely contributed to the study, focusing on the Osteoporotic Fractures in Men cohort and data collection.

Kristine E Ensrud, from the University of Minnesota Department of Medicine and Division of Epidemiology, likely contributed to the study, focusing on the design and interpretation of the results.

Peggy M Cawthon, from the California Pacific Medical Center Research Institute, likely played a significant role in the study's design, data analysis, and interpretation, focusing on aging and health outcomes.","Shardell M, Cappola AR, Guralnik JM, Hicks GE, Kritchevsky SB, Simonsick EM, Ferrucci L, Semba RD, Shaffer NC, Harris T, Eiriksdottir G, Gudnason V, Cotch MF, Orwoll E, Ensrud KE, Cawthon PM"
PMC8246604,publication/journal,Not enough information is available.,The American journal of clinical nutrition
PMC8246604,publication/doi,10.1093/jn/nxab142,10.1093/ajcn/nqab025
PMC9860560,publication/title,A Deep Batch Normalized Convolution Approach for Improving COVID-19 Detection from Chest X-ray Images,A Deep Batch Normalized Convolution Approach for Improving COVID-19 Detection from Chest X-ray Images.
PMC9860560,publication/authors,Not enough information is available.,"Al-Shourbaji I, Kachare PH, Abualigah L, Abdelhag ME, Elnaim B, Anter AM, Gandomi AH"
PMC9860560,publication/journal,Pathogens,"Pathogens (Basel, Switzerland)"
PMC9860560,publication/year,2023,2022
PMC6905129,publication/title,Quantification of head shape from three-dimensional photography for pre- and post-surgical evaluation of craniosynostosis,Quantification of Head Shape from Three-Dimensional Photography for Presurgical and Postsurgical Evaluation of Craniosynostosis.
PMC6905129,publication/authors,"The authors who contributed to the article are:

- Antonio R. Porras, PhD, who is affiliated with the Sheikh Zayed Institute for Pediatric Surgical Innovation – Children’s National Health System. His contributions likely include leading the research and development of the automatic method for quantifying head shape from 3D photography.

- Tu Liyun, PhD, also affiliated with the Sheikh Zayed Institute for Pediatric Surgical Innovation – Children’s National Health System. His contributions likely involved technical and methodological support in the development of the algorithms and statistical models used in the study.

- Deki Tsering, affiliated with the Department of Neurosurgery - Children’s National Health System. His contributions likely include providing clinical insights and expertise in neurosurgery, particularly in the context of craniosynostosis.

- Esperanza Mantilla, MD, affiliated with the Department of Plastic and Reconstructive Surgery - Children’s National Health System. Her contributions likely involve clinical expertise in plastic and reconstructive surgery, particularly in the evaluation and treatment of craniosynostosis.

- Albert Oh, MD, also affiliated with the Department of Plastic and Reconstructive Surgery - Children’s National Health System. His contributions likely include clinical insights and expertise in plastic and reconstructive surgery.

- Andinet Enquobahrie, PhD, affiliated with Kitware Inc. His contributions likely involve technical support and expertise in software development and data analysis.

- Robert Keating, MD, affiliated with the Department of Neurosurgery - Children’s National Health System. His contributions likely include clinical expertise and insights in neurosurgery.

- Gary F. Rogers, MD, affiliated with the Department of Plastic and Reconstructive Surgery - Children’s National Health System. His contributions likely involve clinical expertise in plastic and reconstructive surgery.

- Marius George Linguraru, DPhil, affiliated with the Sheikh Zayed Institute for Pediatric Surgical Innovation – Children’s National Health System and the Departments of Radiology, Pediatrics and Biomedical Engineering, George Washington University. His contributions likely include overseeing the research, providing expertise in biomedical engineering, and ensuring the integration of clinical and technical aspects of the study.","Porras AR, Tu L, Tsering D, Mantilla E, Oh A, Enquobahrie A, Keating R, Rogers GF, Linguraru MG"
PMC6905129,publication/journal,Plastic and Reconstructive Surgery,Plastic and reconstructive surgery
PMC6905129,publication/doi,10.1097/PRS.0000000000006260,10.1097/prs.0000000000006260
PMC11843979,publication/title,Structure-Based Deep Learning Framework for Modeling Human–Gut Bacterial Protein Interactions,Structure-Based Deep Learning Framework for Modeling Human-Gut Bacterial Protein Interactions.
PMC11843979,publication/authors,"The authors who contributed to this article are:

- **Dimitrios P. K.**, who contributed to the investigation, methodology, software, and writing—original draft, as well as writing—review and editing.
- **George C. B.**, who contributed to the investigation, methodology, software, and writing—original draft, as well as writing—review and editing.
- **Constantinos T. C.**, who contributed to the conceptualization, investigation, methodology, supervision, and writing—original draft, as well as writing—review and editing.","Kiouri DP, Batsis GC, Chasapis CT"
PMC6476414,publication/title,Smartwatches Can Detect Walker and Cane Use in Older Adults,Smartwatches Can Detect Walker and Cane Use in Older Adults.
PMC6476414,publication/authors,"The authors who contributed to the article are:

Stephen A. Antos, who is a physical therapist with a Doctor of Physical Therapy degree. He contributed to the design and implementation of the study, as well as the analysis of the data. He is affiliated with the Department of Biomedical Engineering at Northwestern University and the Department of Physical Therapy and Human Movement Sciences at Northwestern University.

Margaret K. Danilovich, who is a physical therapist with a Doctor of Physical Therapy degree and a PhD. She contributed to the design of the study and the analysis of the data. She is affiliated with the Department of Physical Therapy and Human Movement Sciences at Northwestern University.

Amy R. Eisenstein, who holds a PhD. She contributed to the design of the study and the analysis of the data. She is affiliated with the Department of Medical Social Sciences at Northwestern University and CJE SeniorLife.

Keith E. Gordon, who holds a PhD. He contributed to the design of the study and the analysis of the data. He is affiliated with the Department of Physical Therapy and Human Movement Sciences at Northwestern University and the Research Service at Edward Hines Jr. VA Hospital.

Konrad P. Kording, who holds a PhD. He contributed to the design of the study and the analysis of the data. He is affiliated with the Department of Bioengineering at the University of Pennsylvania and the Department of Neuroscience at the University of Pennsylvania.","Antos SA, Danilovich MK, Eisenstein AR, Gordon KE, Kording KP"
PMC6476414,publication/journal,Innovation in Aging,Innovation in aging
PMC6476414,publication/doi,doi:10.1093/geroni/igz008,10.1093/geroni/igz008
PMC7285934,publication/title,Not enough information is available.,Stereo-crossed ablation guided by stereoelectroencephalography for epilepsy: comprehensive coagulations <i>via</i> a network of multi-electrodes.
PMC7285934,publication/authors,The authors who contributed to this article are P-H Wei and X-T Fan. The specific contributions of each author to the paper are not detailed.,"Wei PH, Fan XT, Wang YH, Lu C, Ou SQ, Meng F, Li MY, Zhang HQ, Chen SC, An Y, Yang YF, Ren LK, Shan YZ, Zhao GG"
PMC7285934,publication/journal,Therapeutic Advances in Neurological Disorders,Therapeutic advances in neurological disorders
PMC7285934,publication/doi,Not enough information is available.,10.1177/1756286420928657
PMC8546707,publication/title,Predicting Drift of Influenza A Virus in Swine,Machine Learning Prediction and Experimental Validation of Antigenic Drift in H3 Influenza A Viruses in Swine.
PMC8546707,publication/authors,"The authors who contributed to this article are:

- Zeller, M.
- P.C.G.
- T.K.A.
- A.L.V.
- Z.W.A.
- C.K.S.

The specific contributions of each author are not detailed.","Zeller MA, Gauger PC, Arendsee ZW, Souza CK, Vincent AL, Anderson TK"
PMC8546707,publication/journal,msphere,mSphere
PMC6484528,publication/title,Evaluation of machine learning classifiers to predict compound mechanism of action when transferred across distinct cell-lines.,Evaluation of Machine Learning Classifiers to Predict Compound Mechanism of Action When Transferred across Distinct Cell Lines.
