title	shortid	mapped_pmcid	mapped_pmid	pdf_downloadable	supplementary_downloadable	supplementary_file_count	supplementary_file_list	processed_json_filename	actual_file_count	main_pdf_filename	is_folder_empty	folder_size_mb	flag_needs_processing
Adaptive multi-view multi-label learning for identifying disease-associated candidate miRNAs.	p75y9vrkgn	PMC6459551	30933970.0	yes	yes	9	pcbi.1006931.s005.xlsx; pcbi.1006931.pdf; PMC6459551_main.pdf; pcbi.1006931.s010.xlsx; pcbi.1006931.s006.xlsx; pcbi.1006931.s004.xlsx; pcbi.1006931.s007.xlsx; pcbi.1006931.s008.xlsx; pcbi.1006931.s009.xlsx	PMC6459551.json	1	PMC6459551_main.pdf	False	2.87	False
Brain age from the electroencephalogram of sleep.	7rqpjvvf0w	PMC6478501	30448611.0	yes	yes	1	PMC6478501_main.pdf	PMC6478501.json	1	PMC6478501_main.pdf	False	1.44	False
Integrative analysis of DNA methylation and gene expression identified cervical cancer-specific diagnostic biomarkers.	cqy67zmg5o	PMC6908647	31871774.0	yes	yes	4	41392_2019_Article_81.pdf; 41392_2019_81_MOESM2_ESM.txt; 41392_2019_81_MOESM1_ESM.docx; PMC6908647_main.pdf	PMC6908647.json	1	PMC6908647_main.pdf	False	4.21	False
Aneugen Molecular Mechanism Assay: Proof-of-Concept With 27 Reference Chemicals.	l0wznwpm1x	PMC6657583	31132080.0	yes	yes	1	PMC6657583_main.pdf	PMC6657583.json	1	PMC6657583_main.pdf	False	0.85	False
Quantification of Uncertainty in Peptide-MHC Binding Prediction Improves High-Affinity Peptide Selection for Therapeutic Design.	1de6o2bxxv	PMC6715517	31176619.0	yes	yes	1	PMC6715517_main.pdf	PMC6715517.json	1	PMC6715517_main.pdf	False	0.95	False
Interactive alkaptonuria database: investigating clinical data to improve patient care in a rare disease.	2ee7tbw9bc	PMC6902683	31462106.0	no	no	0							False
Ensembling multiple raw coevolutionary features with deep residual neural networks for contact-map prediction in CASP13.	0zyckt3df0	PMC6851483	31407406.0	yes	yes	1	PMC6851483_main.pdf	PMC6851483.json	1	PMC6851483_main.pdf	False	1.2	False
Unsupervised classification of multi-omics data during cardiac remodeling using deep learning.	3hsc5woplt	PMC6708480	30853547.0	yes	yes	1	PMC6708480_main.pdf	PMC6708480.json	1	PMC6708480_main.pdf	False	0.62	False
Intermittent Hypoxia and Hypercapnia Reproducibly Change the Gut Microbiome and Metabolome across Rodent Model Systems.	hk4hhg2svs	PMC6495231	31058230.0	yes	yes	10	mSystems.00058-19-sf004.docx; mSystems.00058-19-st005.xls; PMC6495231_main.pdf; mSystems.00058-19-st003.xls; mSystems.00058-19-st002.docx; mSystems.00058-19.pdf; mSystems.00058-19-sf003.docx; mSystems.00058-19-st004.xls; mSystems.00058-19-st001.docx; mSystems.00058-19-st006.xls	PMC6495231.json	1	PMC6495231_main.pdf	False	1.78	False
MaGIC: a machine learning tool set and web application for monoallelic gene inference from chromatin.	htsvoi90ft	PMC6394031	30819107.0	yes	yes	4	12859_2019_2679_MOESM2_ESM.pdf; PMC6394031_main.pdf; 12859_2019_2679_MOESM1_ESM.pdf; 12859_2019_Article_2679.pdf	PMC6394031.json	3	PMC6394031_main.pdf	False	1.21	False
Profiling of Gene Expression Biomarkers as a Classifier of Methotrexate Nonresponse in Patients With Rheumatoid Arthritis.	r4ntb0iqha	PMC9328381	30615300.0	yes	yes	4	PMC9328381_main.pdf; ART-71-678.pdf; ART-71-678-s002.pdf; ART-71-678-s001.pdf	PMC9328381.json	3	PMC9328381_main.pdf	False	1.37	False
Identification of hormone binding proteins based on machine learning methods.	rggiypqqgz		31137222.0	no	no	0							False
NeProc predicts binding segments in intrinsically disordered regions without learning binding region sequences	4z11aw60r6	PMC7692026	33304713.0	yes	yes	3	17_147.pdf; BSJ-2020026_S1.pdf; PMC7692026_main.pdf	PMC7692026.json	2	PMC7692026_main.pdf	False	1.84	False
APOD: accurate sequence-based predictor of disordered flexible linkers	lk0hxbd7im	PMC7773485	33381830.0	yes	yes	2	btaa808.pdf; PMC7773485_main.pdf	PMC7773485.json	1	PMC7773485_main.pdf	False	0.89	False
A self-attention based message passing neural network for predicting molecular lipophilicity and aqueous solubility	dq30wdbow2	PMC7035778	33431047.0	yes	yes	3	13321_2020_Article_414.pdf; PMC7035778_main.pdf; 13321_2020_414_MOESM1_ESM.docx	PMC7035778.json	1	PMC7035778_main.pdf	False	2.14	False
Mal-Prec: computational prediction of protein Malonylation sites via machine learning based feature integration	2b9h7u472x	PMC7682087	33225896.0	yes	yes	4	12864_2020_7166_MOESM2_ESM.docx; PMC7682087_main.pdf; 12864_2020_7166_MOESM1_ESM.docx; 12864_2020_Article_7166.pdf	PMC7682087.json	1	PMC7682087_main.pdf	False	1.14	False
m5CPred-SVM: a novel method for predicting m5C sites of RNA.	y6wfiqd2mt	PMC7602301	33126851.0	yes	yes	3	PMC7602301_main.pdf; 12859_2020_3828_MOESM1_ESM.docx; 12859_2020_Article_3828.pdf	PMC7602301.json	1	PMC7602301_main.pdf	False	2.58	False
Interplay between oxidative damage, the redox status, and metabolic biomarkers during long-term fasting.	mhyzrdvtd1	PMC7446623	32858131.0	yes	yes	3	PMC7446623_main.pdf; main.pdf; mmc1.docx	PMC7446623.json	1	PMC7446623_main.pdf	False	3.57	False
Intratumoral and Peritumoral Radiomics of Contrast-Enhanced CT for Prediction of Disease-Free Survival and Chemotherapy Response in Stage II/III Gastric Cancer.	82s7pnn2t8	PMC7794018	33425719.0	yes	yes	3	PMC7794018_main.pdf; fonc-10-552270.pdf; DataSheet_1.pdf	PMC7794018.json	2	PMC7794018_main.pdf	False	2.72	False
Computational analysis of pathological images enables a better diagnosis of TFE3 Xp11.2 translocation renal cell carcinoma.	du3gc2b5fz	PMC7156652	32286325.0	yes	yes	2	PMC7156652_main.pdf; PMC7156652.tar.gz	PMC7156652.json	1	PMC7156652_main.pdf	False	1.49	False
Analysis of heterogeneous genomic samples using image normalization and machine learning.	l4cnu26i2o	PMC7751093	33349236.0	yes	yes	2	PMC7751093_main.pdf; 12864_2020_Article_6661.pdf	PMC7751093.json	1	PMC7751093_main.pdf	False	2.02	False
Construction and Comprehensive Analyses of a METTL5-Associated Prognostic Signature With Immune Implication in Lung Adenocarcinomas.	3p5oxxtlts	PMC7933593	33679869.0	yes	yes	4	Table_1.XLSX; fgene-11-617174.pdf; Data_Sheet_1.CSV; PMC7933593_main.pdf	PMC7933593.json	1	PMC7933593_main.pdf	False	4.99	False
Differential Urinary Proteome Analysis for Predicting Prognosis in Type 2 Diabetes Patients with and without Renal Dysfunction.	ebmz3cuuuq	PMC7352871	32545899.0	yes	yes	2	ijms-21-04236.pdf; PMC7352871_main.pdf	PMC7352871.json	1	PMC7352871_main.pdf	False	4.49	False
PmDNE: Prediction of miRNA-Disease Association Based on Network Embedding and Network Similarity Analysis.	akj12z17yv	PMC7735824	33354569.0	yes	yes	2	BMRI2020-6248686.pdf; PMC7735824_main.pdf	PMC7735824.json	1	PMC7735824_main.pdf	False	0.68	False
Using neuronal extracellular vesicles and machine learning to predict cognitive deficits in HIV.	g23kv6pr5v	PMC7718328	32681213.0	yes	yes	1	PMC7718328_main.pdf	PMC7718328.json	1	PMC7718328_main.pdf	False	1.88	False
A new efficient method to detect genetic interactions for lung cancer GWAS.	58820ywq9x	PMC7596958	33126877.0	yes	yes	2	PMC7596958_main.pdf; 12920_2020_Article_807.pdf	PMC7596958.json	1	PMC7596958_main.pdf	False	1.78	False
MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.	4zvfuyfezh	PMC7648120	33039708.0	yes	yes	2	PMC7648120_main.pdf; main.pdf	PMC7648120.json	1	PMC7648120_main.pdf	False	0.67	False
Genome-Wide Analysis of RNA Decay in the Cyanobacterium <i>Synechococcus</i> sp. Strain PCC 7002.	21vzta5ft2	PMC7406221	32753502.0	yes	yes	5	mSystems.00224-20-st001.pdf; mSystems.00224-20.pdf; mSystems.00224-20-st003.xlsx; PMC7406221_main.pdf; mSystems.00224-20-st002.xlsx	PMC7406221.json	2	PMC7406221_main.pdf	False	0.88	False
Gene expression profiling identified TP53<sup>Mut</sup>PIK3CA<sup>Wild</sup> as a potential biomarker for patients with triple-negative breast cancer treated with immune checkpoint inhibitors.	st1jp9fgiv	PMC7068237	32218835.0	yes	yes	3	PMC7068237_main.pdf; Supplementary_Data.pdf; ol-19-04-2817.pdf	PMC7068237.json	2	PMC7068237_main.pdf	False	1.95	False
Circulating Neutrophil Extracellular Traps Signature for Identifying Organ Involvement and Response to Glucocorticoid in Adult-Onset Still's Disease: A Machine Learning Study.	f66mtky2wk	PMC7680913	33240258.0	yes	yes	2	fimmu-11-563335.pdf; PMC7680913_main.pdf	PMC7680913.json	1	PMC7680913_main.pdf	False	2.26	False
Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification.	opx6a1juph	PMC8545175	32915751.0	yes	yes	1	PMC8545175_main.pdf	PMC8545175.json	1	PMC8545175_main.pdf	False	2.91	False
Multiplex Networks to Characterize Seizure Development in Traumatic Brain Injury Patients.	5iyltalim1	PMC7734183	33328863.0	yes	yes	9	Data_Sheet_6.CSV; Data_Sheet_1.PDF; Data_Sheet_7.CSV; Data_Sheet_2.CSV; Data_Sheet_4.CSV; Data_Sheet_3.CSV; Data_Sheet_5.CSV; fnins-14-591662.pdf; PMC7734183_main.pdf	PMC7734183.json	2	PMC7734183_main.pdf	False	1.86	False
BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.	yuk8w6yxtm	PMC7237030	32324731.0	yes	yes	7	pcbi.1007617.s002.docx; pcbi.1007617.s005.docx; pcbi.1007617.s003.docx; pcbi.1007617.s001.docx; pcbi.1007617.s004.docx; PMC7237030_main.pdf; pcbi.1007617.pdf	PMC7237030.json	1	PMC7237030_main.pdf	False	1.46	False
A Method for Identifying Vesicle Transport Proteins Based on LibSVM and MRMD.	43nakaafp9	PMC7591939	33133228.0	yes	yes	2	CMMM2020-8926750.pdf; PMC7591939_main.pdf	PMC7591939.json	1	PMC7591939_main.pdf	False	0.56	False
Functional Connectivity Combined With a Machine Learning Algorithm Can Classify High-Risk First-Degree Relatives of Patients With Schizophrenia and Identify Correlates of Cognitive Impairments.	caz69j3bqb	PMC7725002	33324147.0	yes	yes	2	PMC7725002_main.pdf; fnins-14-577568.pdf	PMC7725002.json	1	PMC7725002_main.pdf	False	1.76	False
Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.	hlpvh7cgmc	PMC7721480	33329703.0	yes	yes	4	PMC7721480_main.pdf; Table_2.xlsx; fgene-11-566159.pdf; Table_1.DOCX	PMC7721480.json	1	PMC7721480_main.pdf	False	7.91	False
Seagull: lasso, group lasso and sparse-group lasso regularization for linear regression models via proximal gradient descent.	25pxfm641i	PMC7493359	32933477.0	yes	yes	6	12859_2020_3725_MOESM2_ESM.txt; 12859_2020_3725_MOESM1_ESM.txt; 12859_2020_3725_MOESM3_ESM.txt; 12859_2020_3725_MOESM4_ESM.docx; 12859_2020_Article_3725.pdf; PMC7493359_main.pdf	PMC7493359.json	1	PMC7493359_main.pdf	False	0.8	False
Targeted Metabolic Profiling of Urine Highlights a Potential Biomarker Panel for the Diagnosis of Alzheimer's Disease and Mild Cognitive Impairment: A Pilot Study.	tgx5ifo7mb	PMC7569858	32878308.0	yes	yes	3	PMC7569858_main.pdf; metabolites-10-00357-s001.pdf; metabolites-10-00357.pdf	PMC7569858.json	2	PMC7569858_main.pdf	False	0.95	False
Development of a prediction model for hypotension after induction of anesthesia using machine learning.	7kuh4ta7dl	PMC7162491	32298292.0	yes	yes	3	pone.0231172.s001.csv; pone.0231172.pdf; PMC7162491_main.pdf	PMC7162491.json	1	PMC7162491_main.pdf	False	1.1	False
HMMPred: Accurate Prediction of DNA-Binding Proteins Based on HMM Profiles and XGBoost Feature Selection.	ij8nvrxx7j	PMC7142336	32300371.0	yes	yes	2	PMC7142336_main.pdf; CMMM2020-1384749.pdf	PMC7142336.json	1	PMC7142336_main.pdf	False	0.61	False
Machine learning for effectively avoiding overfitting is a crucial strategy for the genetic prediction of polygenic psychiatric phenotypes.	3qzygb13ir	PMC7442807	32826857.0	yes	yes	7	41398_2020_Article_957.pdf; 41398_2020_957_MOESM10_ESM.xlsx; PMC7442807_main.pdf; 41398_2020_957_MOESM9_ESM.docx; 41398_2020_957_MOESM8_ESM.xlsx; 41398_2020_957_MOESM11_ESM.xlsx; 41398_2020_957_MOESM1_ESM.docx	PMC7442807.json	2	PMC7442807_main.pdf	False	1.13	False
Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.	l9ylxpirie		32344344.0	no	no	0							False
Development of PancRISK, a urine biomarker-based risk score for stratified screening of pancreatic cancer patients.	6ed6jt5sbi	PMC7054390	31857725.0	yes	yes	2	PMC7054390_main.pdf; 41416_2019_Article_694.pdf	PMC7054390.json	1	PMC7054390_main.pdf	False	0.4	False
FibroBox: a novel noninvasive tool for predicting significant liver fibrosis and cirrhosis in HBV infected patients.	sfncop89n7	PMC7520974	33005419.0	yes	yes	3	PMC7520974_main.pdf; 40364_2020_Article_215.pdf; 40364_2020_215_MOESM1_ESM.docx	PMC7520974.json	1	PMC7520974_main.pdf	False	2.21	False
Single-cell ATAC-seq signal extraction and enhancement with SCATE.	x35e8g9f2z	PMC7333383	32620137.0	yes	yes	10	13059_2020_2075_MOESM1_ESM.pdf; 13059_2020_2075_MOESM5_ESM.csv; 13059_2020_2075_MOESM3_ESM.csv; 13059_2020_2075_MOESM6_ESM.pdf; 13059_2020_2075_MOESM4_ESM.csv; 13059_2020_2075_MOESM2_ESM.pdf; 13059_2020_Article_2075.pdf; PMC7333383_main.pdf; 13059_2020_2075_MOESM8_ESM.pdf; 13059_2020_2075_MOESM7_ESM.pdf	PMC7333383.json	6	PMC7333383_main.pdf	False	25.95	False
MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.	9regsp7l7u	PMC7648120	33039708.0	yes	yes	2	PMC7648120_main.pdf; main.pdf	PMC7648120.json	1	PMC7648120_main.pdf	False	0.67	False
Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome.	nhcfgr8oi1	PMC7073919	31161221.0	yes	yes	1	PMC7073919_main.pdf	PMC7073919.json	1	PMC7073919_main.pdf	False	2.1	False
RNA-GPS predicts high-resolution RNA subcellular localization and highlights the role of splicing.	039id1a4pi	PMC7297119	32220894.0	yes	yes	13	supp_074161.119_Supplemental_Fig_7.pdf; supp_074161.119_Supplemental_Fig_9.pdf; PMC7297119_main.pdf; 851.pdf; supp_074161.119_Supplemental_Fig_5.pdf; supp_074161.119_Supplemental_Fig_8.pdf; supp_074161.119_Supplemental_Fig_4.pdf; supp_074161.119_Supplemental_Fig_1.pdf; supp_074161.119_Supplemental_Fig_6.pdf; supp_074161.119_Supplemental_Fig_3.pdf; supp_074161.119_Supplemental_Fig_2.pdf; supp_074161.119_Supplemental_Figure_Legends_.docx; supp_26_7_851__index.html	PMC7297119.json	10	PMC7297119_main.pdf	False	2.82	False
Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.	fozqqtqf2d		32344344.0	no	no	0							False
Protein embeddings and deep learning predict binding residues for various ligand classes	eiujukgxuw	PMC8668950	34903827.0	yes	yes	3	PMC8668950_main.pdf; 41598_2021_3431_MOESM1_ESM.pdf; 41598_2021_Article_3431.pdf	PMC8668950.json	2	PMC8668950_main.pdf	False	5.47	False
DeepDISOBind: accurate prediction of RNA-, DNA- and protein-binding intrinsically disordered residues with deep multi-task learning	apf7wp9txp		34905768.0	no	no	0							False
Metapredict: a fast, accurate, and easy-to-use predictor of consensus disorder and structure	rdo1uf4g11	PMC8553642	34480923.0	yes	yes	1	PMC8553642_main.pdf	PMC8553642.json	1	PMC8553642_main.pdf	False	0.79	False
flDPnn: Accurate intrinsic disorder prediction with putative propensities of disorder functions	pxq6fqown7	PMC8295265	34290238.0	yes	yes	6	41467_2021_24773_MOESM2_ESM.pdf; 41467_2021_Article_24773.pdf; PMC8295265_main.pdf; 41467_2021_24773_MOESM1_ESM.pdf; 41467_2021_24773_MOESM4_ESM.xlsx; 41467_2021_24773_MOESM3_ESM.pdf	PMC8295265.json	4	PMC8295265_main.pdf	False	2.57	False
Highly accurate protein structure prediction with AlphaFold	qew9jmdocf	PMC8371605	34265844.0	yes	yes	4	41586_2021_3819_MOESM2_ESM.pdf; 41586_2021_3819_MOESM1_ESM.pdf; PMC8371605_main.pdf; 41586_2021_Article_3819.pdf	PMC8371605.json	3	PMC8371605_main.pdf	False	10.86	False
Identification of Diagnostic CpG Signatures in Patients with Gestational Diabetes Mellitus via Epigenome-Wide Association Study Integrated with Machine Learning	3ahkdhcjev	PMC8162250	34104645.0	yes	yes	3	1984690.f1.pdf; BMRI2021-1984690.pdf; PMC8162250_main.pdf	PMC8162250.json	2	PMC8162250_main.pdf	False	0.95	False
Machine learning to predict the source of campylobacteriosis using whole genome data	0kf7cnsa5t	PMC8553134	34662334.0	yes	yes	3	PMC8553134_main.pdf; pgen.1009436.pdf; pgen.1009436.s001.tsv	PMC8553134.json	1	PMC8553134_main.pdf	False	2.35	False
Identification of Gene Signatures and Expression Patterns During Epithelial-to-Mesenchymal Transition From Single-Cell Expression Atlas	t7m3dsf9ni	PMC7876317	33584803.0	yes	yes	4	Table_1.XLSX; fgene-11-605012.pdf; Table_2.XLSX; PMC7876317_main.pdf	PMC7876317.json	1	PMC7876317_main.pdf	False	2.07	False
iTTCA-RF: a random forest predictor for tumor T cell antigens	y38upwlhxf	PMC8554859	34706730.0	yes	yes	3	PMC8554859_main.pdf; 12967_2021_3084_MOESM1_ESM.docx; 12967_2021_Article_3084.pdf	PMC8554859.json	1	PMC8554859_main.pdf	False	1.38	False
Generating property-matched decoy molecules using deep learning	fbkgc98sns	PMC8352508	33532838.0	yes	yes	2	btab080.pdf; PMC8352508_main.pdf	PMC8352508.json	1	PMC8352508_main.pdf	False	0.53	False
A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.	4ord5sdl9n	PMC8261512	34258160.0	yes	yes	14	ADVS-8-2100104-s002.xlsx; ADVS-8-2100104.pdf; ADVS-8-2100104-s003.xlsx; ADVS-8-2100104-s008.xlsx; ADVS-8-2100104-s011.xlsx; ADVS-8-2100104-s007.xlsx; ADVS-8-2100104-s012.xlsx; PMC8261512_main.pdf; ADVS-8-2100104-s006.xlsx; ADVS-8-2100104-s005.xlsx; ADVS-8-2100104-s004.xlsx; ADVS-8-2100104-s010.xlsx; ADVS-8-2100104-s009.pdf; ADVS-8-2100104-s001.xlsx	PMC8261512.json	2	PMC8261512_main.pdf	False	1.81	False
Machine Learning Assisted Prediction of Prognostic Biomarkers Associated With COVID-19, Using Clinical and Proteomics Data.	3rafrbsxow	PMC8175075	34093642.0	yes	yes	6	Table_2.DOCX; fgene-12-636441.pdf; Table_4.xlsx; Table_3.XLSX; PMC8175075_main.pdf; Table_1.DOCX	PMC8175075.json	1	PMC8175075_main.pdf	False	0.81	False
Identifying the minimum amplicon sequence depth to adequately predict classes in eDNA-based marine biomonitoring using supervised machine learning.	kottgt7uak	PMC8093828	33995917.0	yes	yes	4	mmc1.xlsx; main.pdf; mmc2.docx; PMC8093828_main.pdf	PMC8093828.json	1	PMC8093828_main.pdf	False	2.7	False
Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma.	fv16isykca	PMC8351329	34372798.0	yes	yes	2	12885_2021_Article_8647.pdf; PMC8351329_main.pdf	PMC8351329.json	1	PMC8351329_main.pdf	False	1.03	False
A new molecular classification to drive precision treatment strategies in primary Sjögren's syndrome.	e1fgv8jwbe	PMC8192578	34112769.0	yes	yes	20	41467_2021_23472_MOESM17_ESM.xlsx; 41467_2021_23472_MOESM6_ESM.xlsx; 41467_2021_23472_MOESM8_ESM.xlsx; 41467_2021_23472_MOESM1_ESM.pdf; PMC8192578_main.pdf; 41467_2021_23472_MOESM11_ESM.xlsx; 41467_2021_23472_MOESM9_ESM.xlsx; 41467_2021_Article_23472.pdf; 41467_2021_23472_MOESM13_ESM.xlsx; 41467_2021_23472_MOESM3_ESM.pdf; 41467_2021_23472_MOESM15_ESM.xlsx; 41467_2021_23472_MOESM4_ESM.xlsx; 41467_2021_23472_MOESM16_ESM.xlsx; 41467_2021_23472_MOESM5_ESM.xlsx; 41467_2021_23472_MOESM10_ESM.xlsx; 41467_2021_23472_MOESM12_ESM.xlsx; 41467_2021_23472_MOESM2_ESM.pdf; 41467_2021_23472_MOESM14_ESM.xlsx; 41467_2021_23472_MOESM18_ESM.pdf; 41467_2021_23472_MOESM7_ESM.xlsx	PMC8192578.json	5	PMC8192578_main.pdf	False	11.8	False
Improving the Prediction of Benign or Malignant Breast Masses Using a Combination of Image Biomarkers and Clinical Parameters.	wa4n4o4gna	PMC8019900	33828982.0	yes	yes	2	PMC8019900_main.pdf; fonc-11-629321.pdf	PMC8019900.json	1	PMC8019900_main.pdf	False	1.18	False
Computational Methods for Structure-to-Function Analysis of Diet-Derived Catechins-Mediated Targeting of In Vitro Vasculogenic Mimicry.	mnu68fbrdn	PMC8042551	33953534.0	yes	yes	2	10.1177_11769351211009229.pdf; PMC8042551_main.pdf	PMC8042551.json	1	PMC8042551_main.pdf	False	1.41	False
Regression plane concept for analysing continuous cellular processes with machine learning.	fnmlhciok7	PMC8100172	33953203.0	yes	yes	10	41467_2021_22866_MOESM2_ESM.pdf; 41467_2021_22866_MOESM14_ESM.pdf; 41467_2021_22866_MOESM16_ESM.txt; 41467_2021_22866_MOESM1_ESM.pdf; 41467_2021_22866_MOESM4_ESM.xlsx; 41467_2021_22866_MOESM17_ESM.pdf; PMC8100172_main.pdf; 41467_2021_Article_22866.pdf; 41467_2021_22866_MOESM3_ESM.pdf; 41467_2021_22866_MOESM18_ESM.xlsx	PMC8100172.json	6	PMC8100172_main.pdf	False	31.76	False
Comparison of Targeted and Untargeted Approaches in Breath Analysis for the Discrimination of Lung Cancer from Benign Pulmonary Diseases and Healthy Persons.	47cb9iahma	PMC8125376	33946997.0	yes	yes	2	molecules-26-02609.pdf; PMC8125376_main.pdf	PMC8125376.json	1	PMC8125376_main.pdf	False	0.94	False
Predictive models for mild cognitive impairment to Alzheimer's disease conversion.	b365zwv48h	PMC8328792	33510068.0	yes	yes	2	NRR-16-1766.pdf; PMC8328792_main.pdf	PMC8328792.json	1	PMC8328792_main.pdf	False	0.73	False
Nasopharyngeal metabolomics and machine learning approach for the diagnosis of influenza.	hilwjyqhpx	PMC8385175	34419924.0	yes	yes	4	PMC8385175_main.pdf; main.pdf; mmc2.docx; mmc1.docx	PMC8385175.json	1	PMC8385175_main.pdf	False	0.81	False
Genome-wide prediction of topoisomerase IIβ binding by architectural factors and chromatin accessibility.	conhqw242m	PMC7845959	33465072.0	yes	yes	11	pcbi.1007814.s018.xlsx; pcbi.1007814.s023.doc; PMC7845959_main.pdf; pcbi.1007814.s024.pdf; pcbi.1007814.s017.xlsx; pcbi.1007814.s019.doc; pcbi.1007814.s022.doc; pcbi.1007814.pdf; pcbi.1007814.s021.doc; pcbi.1007814.s020.doc; pcbi.1007814.s025.pdf	PMC7845959.json	3	PMC7845959_main.pdf	False	3.36	False
Mortality Prediction Utilizing Blood Biomarkers to Predict the Severity of COVID-19 Using Machine Learning Technique.	7cpzfr4v7k	PMC8469072	34573923.0	yes	yes	2	PMC8469072_main.pdf; diagnostics-11-01582.pdf	PMC8469072.json	1	PMC8469072_main.pdf	False	4.31	False
A machine learning PROGRAM to identify COVID-19 and other diseases from hematology data.	9ydtb6du8j	PMC8204819	34254032.0	yes	yes	3	fsoa-07-733-s1.docx; PMC8204819_main.pdf; fsoa-07-733.pdf	PMC8204819.json	1	PMC8204819_main.pdf	False	10.38	False
Authoritative subspecies diagnosis tool for European honey bees based on ancestry informative SNPs.	m2bccoqnyy	PMC7860026	33535965.0	yes	yes	11	12864_2021_7379_MOESM9_ESM.xlsx; 12864_2021_7379_MOESM10_ESM.xlsx; 12864_2021_7379_MOESM2_ESM.pdf; 12864_2021_7379_MOESM1_ESM.txt; 12864_2021_Article_7379.pdf; 12864_2021_7379_MOESM3_ESM.pdf; 12864_2021_7379_MOESM12_ESM.xlsx; 12864_2021_7379_MOESM4_ESM.pdf; PMC7860026_main.pdf; 12864_2021_7379_MOESM11_ESM.xlsx; 12864_2021_7379_MOESM8_ESM.xlsx	PMC7860026.json	4	PMC7860026_main.pdf	False	1.79	False
Identification of Novel COVID-19 Biomarkers by Multiple Feature Selection Strategies.	6ykikkh959	PMC8485143	34603483.0	yes	yes	5	2203636.f2.pdf; 2203636.f1.pdf; CMMM2021-2203636.pdf; PMC8485143_main.pdf; 2203636.f3.pdf	PMC8485143.json	4	PMC8485143_main.pdf	False	2.23	False
Predicting anticancer hyperfoods with graph convolutional networks.	v4efeulceq	PMC8182908	34099048.0	yes	yes	4	40246_2021_Article_333.pdf; 40246_2021_333_MOESM1_ESM.xlsx; 40246_2021_333_MOESM2_ESM.xlsx; PMC8182908_main.pdf	PMC8182908.json	1	PMC8182908_main.pdf	False	0.84	False
Machine learning model for identifying important clinical features for predicting remission in patients with rheumatoid arthritis treated with biologics.	h1b95pkq6c	PMC8259419	34229736.0	yes	yes	3	13075_2021_Article_2567.pdf; 13075_2021_2567_MOESM1_ESM.docx; PMC8259419_main.pdf	PMC8259419.json	1	PMC8259419_main.pdf	False	2.44	False
Identification of Circulating Diagnostic Biomarkers for Coronary Microvascular Disease in Postmenopausal Women Using Machine-Learning Techniques.	65taxw9gs8	PMC8230313	34070374.0	yes	yes	2	PMC8230313.tar.gz; PMC8230313_main.pdf	PMC8230313.json	1	PMC8230313_main.pdf	False	1.75	False
Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.	lmmde595pw		32991297.0	no	no	0							False
The Budapest Amyloid Predictor and Its Applications.	bd02oq0dn5	PMC8067080	33810341.0	yes	yes	3	biomolecules-11-00500.pdf; biomolecules-11-00500-s001.pdf; PMC8067080_main.pdf	PMC8067080.json	2	PMC8067080_main.pdf	False	0.42	False
A deep learning approach to identify gene targets of a therapeutic for human splicing disorders.	ix9p2rdt6k	PMC8185002	34099697.0	yes	yes	9	41467_2021_Article_23663.pdf; 41467_2021_23663_MOESM3_ESM.xlsx; 41467_2021_23663_MOESM5_ESM.pdf; 41467_2021_23663_MOESM2_ESM.xlsx; 41467_2021_23663_MOESM7_ESM.xlsx; 41467_2021_23663_MOESM6_ESM.pdf; 41467_2021_23663_MOESM1_ESM.pdf; 41467_2021_23663_MOESM4_ESM.pdf; PMC8185002_main.pdf	PMC8185002.json	5	PMC8185002_main.pdf	False	6.59	False
CopulaNet: Learning residue co-evolution directly from multiple sequence alignment for protein structure prediction.	1bn52lke7u	PMC8100175	33953201.0	yes	yes	5	41467_2021_22869_MOESM1_ESM.pdf; 41467_2021_22869_MOESM2_ESM.pdf; PMC8100175_main.pdf; 41467_2021_22869_MOESM3_ESM.pdf; 41467_2021_Article_22869.pdf	PMC8100175.json	4	PMC8100175_main.pdf	False	5.92	False
Image-based pooled whole-genome CRISPRi screening for subcellular phenotypes.	kr8wmng69g	PMC7816647	33464298.0	yes	yes	6	JCB_202006180_TableS2.xlsx; JCB_202006180_TableS1.xlsx; JCB_202006180.pdf; PMC7816647_main.pdf; JCB_202006180_TableS3.xlsx; JCB_202006180_review_history.pdf	PMC7816647.json	1	PMC7816647_main.pdf	False	6.97	False
Modeling behaviorally relevant neural dynamics enabled by preferential subspace identification.	dmb4u51v5o		33169030.0	no	no	0							False
