matches_publication/journal,matches_evaluation/measure,publication_title,matches_optimization/parameters,publication_skip,publication_tags_3,public,publication_tags_2,uuid,matches_dataset/provenance,created,matches_model/duration,matches_publication/doi,matches_optimization/meta,publication_created,matches_publication/title,updated,matches_model/availability,matches_optimization/features,matches_optimization/algorithm,matches_publication/updated,score,matches_dataset/splits,matches_dataset/redundancy,publication_updated,publication_done,matches_optimization/fitting,publication_pmid,publication_tags_0,publication_journal,shortid,_id,publication_authors,matches_evaluation/method,matches_publication/tags_3,publication_tags_1,matches_publication/tags_2,matches_publication/authors,matches_evaluation/confidence,matches_evaluation/comparison,matches_evaluation/availability,publication_doi,matches_optimization/encoding,publication_year,matches_publication/tags_1,matches_optimization/regularization,matches_model/interpretability,matches_dataset/availability,matches_model/output,matches_optimization/config,matches_publication/tags_0
BMC Genomics,96.2% sensitivity and 95.2% specificity,Authoritative subspecies diagnosis tool for European honey bees based on ancestry informative SNPs.,,0,,True,,bfdbba26-c83c-43c0-8067-6e78c75facb7,"307 cervical tumor samples from The Cancer Genome Atlas, 113 normal.",2022-09-01T15:16:05.445Z,,,,,Authoritative subspecies diagnosis tool for European honey bees based on ancestry informative SNPs.,2022-09-01T15:16:05.445Z,,"Hybrid feature selection schema based on information gain and sequential backward
feature selection (SBFS).",Logistic regression model.,03/28/2022 20:30:14,0.57,"The data were randomly divided into ten different sets. Nine sets were used for training, and the remaining set was used for validation.",,03/28/2022 20:30:14,0,,33535965,,BMC Genomics,m2bccoqnyy,63516fedb9c880af1f305b78,"Momeni J, Parejo M, Nielsen RO, Langa J, Montes I, Papoutsis L, Farajzadeh L, Bendixen C, Căuia E, Charrière JD, Coffey MF, Costa C, Dall'Olio R, De la Rúa P, Drazic MM, Filipi J, Galea T, Golubovski M, Gregorc A, Grigoryan K, Hatjina F, Ilyasov R, Ivanova E, Janashia I, Kandemir I, Karatasou A, Kekecoglu M, Kezic N, Matray ES, Mifsud D, Moosbeckhofer R, Nikolenko AG, Papachristoforou A, Petrov P, Pinto MA, Poskryakov AV, Sharipov AY, Siceanu A, Soysal MI, Uzunov A, Zammit-Mangion M, Vingborg R, Bouga M, Kryger P, Meixner MD, Estonba A",tenfold cross-validation,,,,"Momeni J, Parejo M, Nielsen RO, Langa J, Montes I, Papoutsis L, Farajzadeh L, Bendixen C, Căuia E, Charrière JD, Coffey MF, Costa C, Dall'Olio R, De la Rúa P, Drazic MM, Filipi J, Galea T, Golubovski M, Gregorc A, Grigoryan K, Hatjina F, Ilyasov R, Ivanova E, Janashia I, Kandemir I, Karatasou A, Kekecoglu M, Kezic N, Matray ES, Mifsud D, Moosbeckhofer R, Nikolenko AG, Papachristoforou A, Petrov P, Pinto MA, Poskryakov AV, Sharipov AY, Siceanu A, Soysal MI, Uzunov A, Zammit-Mangion M, Vingborg R, Bouga M, Kryger P, Meixner MD, Estonba A",,,,10.1186/s12864-021-07379-7,Feature selection.,2021,,,Black box,Yes. Supplementary material of the paper.,,,
Comput Math Methods Med,,Identification of Novel COVID-19 Biomarkers by Multiple Feature Selection Strategies.,"one. To determine the optimal hyperparameter, they randomly select 300 EEGs from the training set to serve as internal validation data.",0,,True,,ea4a498a-ad09-4fe4-9fba-a01b495ea341,"2 large sleep EEG data sets: the Massachusetts General Hospital (MGH) sleep lab
data set (N = 2532; ages 18-80); and the Sleep Heart Health Study (SHHS, N =1974; ages 40-80)",2022-09-01T15:16:05.444Z,,,,,Identification of Novel COVID-19 Biomarkers by Multiple Feature Selection Strategies.,2022-09-01T15:16:05.444Z,,"They extract 102 features from each 30-second epoch covering both time and frequency domains. For each EEG recording, they average the features in each of the 5 sleep stages overtime, yielding 102 x 5 = 510 features per EEG.",Novel approach: They develop a machine learning model to predict BA based on 2 large sleep EEG data sets. The model is described in the paper.,04/06/2022 17:27:29,0.71,"The MGH data set (N =2532) was partitioned into a healthy training set (N = 1343) used to train the model, and a testing set (N =1189) to evaluate model performance.

As validation, they used a subset of the SHHS data set where each participant underwent 2 study visits, referred as SHHS1 and SHHS2. The data set contains 987 adults for a total of 1974 nights of EEG recorded. They trained the model in 2 ways. First, they trained the model on 752 participants with paired EEGs (1504 EEGs) from both visits and tested on the held out 235 participants with paired EEGs (470 EEGs) in both visits. They trained the model on the 2365 EEGs from healthy participants in MGH data set. We then predicted BA on the 1974 paired EEGs in SHHS as the testing set.",They maintain strict separation of training and testing participants.,04/06/2022 17:27:29,0,"One strength of the study is the use of large data sets. The number of EEGs involved in this study is large among relevant “BA” studies. The large size of the data sets helps to ensure the statistical power as well and to minimize selection bias. A large training set helps ensure that the trained model does not overfit to a particular data set, improving the ability togeneralize when applied beyond the training set. A large testing set allows accurate statistical measurement of how accurately the
model performs.",34603483,,Comput Math Methods Med,6ykikkh959,63516fedb9c880af1f305b77,"Zhang S, Qu R, Wang P, Wang S",The model is validated on a longitudinal cohort from a subset of the SHHS data set without neurological or cardiovascular disease.,,,,"Zhang S, Qu R, Wang P, Wang S",The method reports statistical significant results.,,,10.1155/2021/2203636,"EEG signals are notch-filtered at 60 Hz to reduce line noise, and bandpass filtered from 0.5 Hz to 20 Hz to reduce myogenic artifacts.
For 30s-epochs, those with absolute amplitude larger than 500 m V are removed to minimize movement artifacts. Epochs containing flat EEG for more than 2 seconds are also removed. We also exclude EEGs contaminated by electrocardiogram, indicated by 1 Hz harmonic in the EEG spectrogram. To reduce interparticipant variance, the amplitude of each EEG channel is normalized to have zero median and unit interquartile range across the whole night. The total amount of data removed by these preprocessing procedures is
7% in the MGH data set and 9% in the SHHS data set.",2021,,,"Transparent. The use of a parametric model, improves model interpretation by inspecting each EEG feature and comparing to the age norm for each feature explicitly. An example is provided in Figure 5 of the paper.",,,"yes, included in the paper.",
Hum Genomics,"MSE of predicted age based on methylation data, squared correlation coefficient R^2 between predicted and chronological age, the number
 of features with an estimated effect different from zero, the execution
 time needed to compute the entire regularization path.",Predicting anticancer hyperfoods with graph convolutional networks.,"p=6. penalty parameter λ,  α ∈ [0, 1] is the mixing parameter which convexly links the penalties, ε_rel relative accuracy,  groups from SVD, weights for each explanatory variable, proportion ξ λmin = ξλmax.",0,,True,,d8f4a424-12a1-40cc-8bde-3f756df2316b,"The data set is publicly available
and described in detail in https://doi.org/10.1016/j.cmet.2017.03.016 
141 data points, problem of regression for predicting chronological age of mice based on their methylation profiles.",2022-09-01T15:16:05.444Z,20'-5h compared to 45h of previous methods,,,,Predicting anticancer hyperfoods with graph convolutional networks.,2022-09-01T15:16:05.444Z,yes in Additional files and https://github.com/jklosa/seagull,,accelerated generalized gradient descent. ,06/23/2022 03:51:32,0.76,training (n = 75) and validation(n = 66),Αll age classes appeared almost equally in both sets.,06/23/2022 03:51:32,0,,34099048,,Hum Genomics,v4efeulceq,63516fedb9c880af1f305b5b,"Gonzalez G, Gong S, Laponogov I, Bronstein M, Veselkov K",independent dataset,,,,"Gonzalez G, Gong S, Laponogov I, Bronstein M, Veselkov K",the results of seagull and SGL were very similar (R^2 > 0.99),comparison of the outcome of seagull to that of the established R package SGL 1.3,,10.1186/s40246-021-00333-4,SVD for groups' separation,2021,,"Yes. Regularization paths for the lasso, group lasso, sparse-group lasso, and IPF-lasso for linear regression models",,Yes. https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80672,"regression of methylation age of mice. Eventually, seagull provides a sequence of penalty parameters and calculates the corresponding path of solutions.",,
Arthritis Res Ther,,Machine learning model for identifying important clinical features for predicting remission in patients with rheumatoid arthritis treated with biologics.,"The weights of the VGG-16 network have been preserved from the pre-trained model. FCL layer network which consists of 2-layers. The first layer is activated by the ReLU function and consists of 256 nodes, followed by the second layer consisting of 16 nodes activated by softmax.",0,,True,,fff9d12e-3bb2-4353-9447-8540487d7c84,"Data collection was conducted through samples aggregated from mango
plants. Data is composed of images. 
They perform 3 experimental scenarios: Dataset size (510, 46.500, 62.047).",2022-09-01T15:16:05.444Z,"The cloud-based deployment of the CPU-only Tensorflow with Keras library has resulted
 in the computational time between 2 s to 2.99 s for the classification of the input image and provide a response to the mobile application.",,,,Machine learning model for identifying important clinical features for predicting remission in patients with rheumatoid arthritis treated with biologics.,2022-09-01T15:16:05.444Z,,The extracted features are flattened: input feature vector [7*7*512].,"The VGG-16 network architecture (Simonyan & Zisserman, 2014) has been updated to replace the last block containing the softmax classification with a fully-connected layer
(FCL).",03/29/2022 22:22:24,0.67,"The overall original dataset has been divided into three subsets
namely (i) training; (ii) validation and (iii) testing with 60%, 20% and
20% respectively.",,03/29/2022 22:22:24,0,They report overfitting and state that they will evaluate the performance of the network training against the overfitting in future research activity.,34229736,,Arthritis Res Ther,h1b95pkq6c,63516fedb9c880af1f305b5a,"Koo BS, Eun S, Shin K, Yoon H, Hong C, Kim DH, Hong S, Kim YG, Lee CK, Yoo B, Oh JS",,,,,"Koo BS, Eun S, Shin K, Yoon H, Hong C, Kim DH, Hong S, Kim YG, Lee CK, Yoo B, Oh JS",,,,10.1186/s13075-021-02567-y,"Data augmentation: blur (+ affine transform), contrast (+ affine transform), noise (+ affine transform). In total, for every image in the original dataset, additional 150 images have been generated through the presented augmentation process.",2021,,,Black box,,,,
,,Identification of Circulating Diagnostic Biomarkers for Coronary Microvascular Disease in Postmenopausal Women Using Machine-Learning Techniques.,2 tuning parameters.,0,,True,,26486d2e-e909-4b8a-a883-ec4878c2a8e0,SNP data for a total of 9966 subjects: 4974 training cohort subjects living in Miyagi prefecture recruited by Tohoku University and 4992 validation cohort subjects living in Iwate prefecture recruited by Iwate Medical University. ,2022-09-01T15:16:05.444Z,,,,,Identification of Circulating Diagnostic Biomarkers for Coronary Microvascular Disease in Postmenopausal Women Using Machine-Learning Techniques.,2022-09-01T15:16:05.444Z,"The program code for STMGP (STMGP v1.0), including the function used in the study, is available via CRAN, the official R package archive.","They prepared SNP data, phenotype data, and covariate data for both the training and test
datasets for the input of the function (3 features).",Novel prediction algorithm: Smooth-Threshold Multivariate Genetic Prediction (STMGP),03/26/2022 18:39:06,0.76,"After filtering, 3685 subjects in the training cohort and 3048 subjects in the validation cohort with 615,386 variants were subjected to prediction analyses.","Training and test sets are independent. Subjects with a low call rate (<0.98, n = 2 in the training cohort and n = 3 in the validation cohort) were excluded.
They detected 2156 close-relationship pairs (620 in the training cohort and 1536 in the validation cohort) using the identity-by-descent method in PLINK software among the training cohort, the validation cohort, or between these cohorts. Then, in each of these pairs, a subject with lower call rates was excluded. Variants with low call rates, low Hardy–Weinberg equilibrium exact-test P values, or low minor-allele frequencies were filtered out. Subjects without outcome or covariate information (n = 669 in the training cohort and n = 408 in the validation cohort) were excluded. Finally, 3685 subjects in the training cohort and 3048 subjects in the validation cohort with 615,386 variants were subjected to prediction analyses.",03/26/2022 18:39:06,0,,34070374,,Metabolites,65taxw9gs8,63516fedb9c880af1f305b59,"Arredondo Eve A, Tunc E, Liu YJ, Agrawal S, Erbak Yilmaz H, Emren SV, Akyıldız Akçay F, Mainzer L, Žurauskienė J, Madak Erdogan Z",The performance of STMGP was evaluated in terms of prediction accuracy and the degree of overfitting.,,,,"Arredondo Eve A, Tunc E, Liu YJ, Agrawal S, Erbak Yilmaz H, Emren SV, Akyıldız Akçay F, Mainzer L, Žurauskienė J, Madak Erdogan Z","STMGP showed the highest prediction accuracy with the lowest degree of overfitting, although there was no significant difference in prediction accuracy.","The performance of STMGP was evaluated in terms of prediction accuracy and
 the degree of overfitting, and compared with that of other state-of-the-art methods, which included, in addition to PRS and GBLUP, summary-data-based best linear-unbiased prediction (SBLUP) , BayesR (a Bayesian hierarchical model for complex trait analysis) , and ridge regression (penalized regression model).",,10.3390/metabo11060339,,2021,,Strategy to reduce overfitting: screening and building penalized regression models.,Black box,,,,
IEEE J Biomed Health Inform,"Accuracy, sensitivity, specificity, precision, Matthews correlation coefficient and F1-score.
 Area under ROC and PRC",Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.,"Yes: 2 (box constraint and kernel scale)
Selected through grid search on ten-fold cross-validation dataset",0,,True,,9d6ac10d-1ae3-42d0-bc30-3a9363a41b6f,Yes: source of data. Used by previous papers.,2022-09-01T15:16:05.444Z,,,,,Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.,2022-09-01T15:16:05.444Z,Website URL (but link is broken),Yes: number of features and feature selection on the ten-fold cross-validation dataset using sequential forward feature selection (SFS),SVM (FITCSVM),02/18/2022 09:58:28,0.86,"Yes: size of training, validation and test sets as well as distribution of N_pos and N_neg are given.",Yes: procedure to remove sequences with similarity >70% is applied in negative and positive datasets,02/18/2022 09:58:28,0,No exclusion mentioned,32991297,,IEEE J Biomed Health Inform,lmmde595pw,63516fedb9c880af1f305b58,"Bao G, Xu R, Wang X, Ji J, Wang L, Li W, Zhang Q, Huang B, Chen A, Zhang D, Kong B, Yang Q, Yuan C, Wang X, Wang J, Li X",Independent test set,,,,"Bao G, Xu R, Wang X, Ji J, Wang L, Li W, Zhang Q, Huang B, Chen A, Zhang D, Kong B, Yang Q, Yuan C, Wang X, Wang J, Li X","List of so-called “significantly higher“ performance metric values in favor of their method, but without confidence interval or explicit p-values or even name of test performed.","Comparison of SVM with other classifiers (KNN, Adaboost, random forests, decision tree, logistic regression and XGBoost) on the same cross-validation dataset.
 Comparison of their best method (SVM) with five other existing methods with webserver availability (RNAm5Cfinder, iRNA-m5C, iRNAm5C-PseDNC and RNAm5Cpred, PEA-m5C). Table presenting algorithm class and features used by these methods is presented.",,10.1109/JBHI.2020.3027680,"Yes: specific sequence features
(k-nucleotide frequency (KNF), k-spaced nucleotide pair frequency (KSNPF), position-specific nucleotide propensity (PSNP), k-spaced position-specific dinucleotide propensity (KSPSDP), pseudo dinucleotide composition (PseDNC), Chemical property with density (CPD))
",2021,,Yes (sequential forward feature selection (SFS) to reduce redundant features),"Transparent at the level of the feature selection (evaluation results for different combinations of features), put in connection with mean sequence difference between positive and negative sets","Yes, supposedly. Datasets are supposed to be available through URL (https://zhulab.ahu.edu.cn/m5CPred-SVM/) but link does not respond",,No. URL given for model availability but link is broken (not sure what exact information was available in the URL),
,"ROC, AUC, sensitivity, specificity",The Budapest Amyloid Predictor and Its Applications.,Grid search and Gaussian radial basis function kernels were implemented for tuning parameters.,0,,True,,396609c8-552f-4eed-9c3e-18a8c4238dd0,they created the dataset,2022-09-01T15:16:05.444Z,,,,,The Budapest Amyloid Predictor and Its Applications.,2022-09-01T15:16:05.444Z,,"4(Plasma samples were used to measure cell-free Dnot reported, NE-Dnot reported, MPO-Dnot reported,
and citH3-Dnot reported complexes from training and validation sets.)",,02/18/2022 08:57:44,0.62,"training set: 40 (23 active and 17 inactive) patients & 24 healthy, validation set: 26 (18 active and 8 inactive) patients & 16 healthy",,02/18/2022 08:57:44,0,,33810341,,Biomolecules,bd02oq0dn5,63516fedb9c880af1f305b57,"Keresztes L, Szögi E, Varga B, Farkas V, Perczel A, Grolmusz V",indipendent dataset,,,,"Keresztes L, Szögi E, Varga B, Farkas V, Perczel A, Grolmusz V",svms accuracy,novel approach,,10.3390/biom11040500,global features invlude various clinical characteristis of sampes.,2021,,,Black box,in supplementary files,classification: binary predictions,,
Nat Commun,,A deep learning approach to identify gene targets of a therapeutic for human splicing disorders.,No description,0,,True,,9bbabc44-4041-4c29-aacc-649db0ba034b,Downloaded from public sources,2022-09-01T15:16:05.443Z,,,,,A deep learning approach to identify gene targets of a therapeutic for human splicing disorders.,2022-09-01T15:16:05.443Z,,No description,"Generalized Linear models, SVM, NN, Random Forests and XGBoost,",03/07/2022 21:14:17,0.71,"Train set of 134 samples, test of 45 samples, and a validation sets consisting of 86 samples. No mention to N_pos or N_neg.",No similarity check,03/07/2022 21:14:17,0,No description,34099697,,Nat Commun,ix9p2rdt6k,63516fedb9c880af1f305b38,"Gao D, Morini E, Salani M, Krauson AJ, Chekuri A, Sharma N, Ragavendran A, Erdin S, Logan EM, Li W, Dakka A, Narasimhan J, Zhao X, Naryshkin N, Trotta CR, Effenberger KA, Woll MG, Gabbeta V, Karp G, Yu Y, Johnson G, Paquette WD, Cutting GR, Talkowski ME, Slaugenhaupt SA","one training set, one test set and one validation set.",,,,"Gao D, Morini E, Salani M, Krauson AJ, Chekuri A, Sharma N, Ragavendran A, Erdin S, Logan EM, Li W, Dakka A, Narasimhan J, Zhao X, Naryshkin N, Trotta CR, Effenberger KA, Woll MG, Gabbeta V, Karp G, Yu Y, Johnson G, Paquette WD, Cutting GR, Talkowski ME, Slaugenhaupt SA",Unpaired or paired Student t-test and log-rank tests for Kaplan-Meier,No comparison,,10.1038/s41467-021-23663-2,Normalization according to an external reference Gut. 2014;63(11):1700–10. https://doi.org/10.1136/gutjnl-2013-305806.,2021,,,Linear models and ensemble methods,"No. However, raw data can be downloaded  as data sets can be of GSE53625 from GEO (https://www.ncbi.nlm.nih.gov/geo/) and 37 ESCC cases with Asian ancestry from TCGA (UCSC Xena, https://xena.ucsc.edu/).",both regression and classification,,
Nat Commun,,CopulaNet: Learning residue co-evolution directly from multiple sequence alignment for protein structure prediction.,,0,,True,,4d57e85d-7eba-478f-9400-c8f4acb9fdcc,Public database,2022-09-01T15:16:05.443Z,,,,,CopulaNet: Learning residue co-evolution directly from multiple sequence alignment for protein structure prediction.,2022-09-01T15:16:05.443Z,,,Neural network,03/06/2022 18:09:45,0.57,Size not reported 80:20 train-test split,,03/06/2022 18:09:45,0,,33953201,,Nat Commun,1bn52lke7u,63516fedb9c880af1f305b37,"Ju F, Zhu J, Shao B, Kong L, Liu TY, Zheng WM, Bu D",,,,,"Ju F, Zhu J, Shao B, Kong L, Liu TY, Zheng WM, Bu D",,,,10.1038/s41467-021-22869-8,n-dimensional vectors,2021,,"Yes, Global orthogonal regularization (alpha = 1)",Black box,"Yes, https://chemicalchecker.org/",,,
J Cell Biol,"Accuracy, F1 score, Recall, and Precision",Image-based pooled whole-genome CRISPRi screening for subcellular phenotypes.,,0,,True,,621ff42a-1daa-4b6d-b190-e35478b9af68,"Public dataset of Chest X Rays scans labeled for ""normal"", ""viral pneumonia"", and ""COVID-19"". N_normal = 1341; N_viral_pneumonia = 1345; N_covid19 = 219. Used in previous papers.",2022-09-01T15:16:05.443Z,,,"Yes. The classifier input data are generated using an unsupervised ML algorithm extracting three image features from Chest X Rays scans. Such unsupervised ML algorithm is a convolutional adversarial network (they call that ""MS-AdaNet"").

They train and test MS-AdaNet on a independent dataset to prove its ability in extrating features. However they trained this algorithm also on the dataset use for classification when the MS-AdaNet is used as input for the classifier.",,Image-based pooled whole-genome CRISPRi screening for subcellular phenotypes.,2022-09-01T15:16:05.443Z,,The inputs of the algorithm are three images. The definition of the images is not reported,"Combination of three DenseNet-121, the output of which was combined in a final fully connected layer. ",03/21/2022 08:46:51,0.71,No test or validation set used. They used 5-fold cross-validation on the dataset for evaluation. Distribution of the classes in the splits not reported,Only one dataset is used. They used 5-fold cross-validation on the dataset for evaluation.,03/21/2022 08:46:51,0,,33464298,,J Cell Biol,kr8wmng69g,63516fedb9c880af1f305b36,"Kanfer G, Sarraf SA, Maman Y, Baldwin H, Dominguez-Martin E, Johnson KR, Ward ME, Kampmann M, Lippincott-Schwartz J, Youle RJ",5-fold cross-validation,,,,"Kanfer G, Sarraf SA, Maman Y, Baldwin H, Dominguez-Martin E, Johnson KR, Ward ME, Kampmann M, Lippincott-Schwartz J, Youle RJ",No confidence intervals or statistical significance provided.,Compared with other methods presented in literature.,,10.1083/jcb.202006180,The classifier input data are generated by an unsupervised ML algorithm (MS-AdaNet). No transformation is stated for the input data of MS-AdaNet.,2021,,No overfitting prevention strategy is mentioned.,Black box,Yes. They used a public dataset published in a previous paper. Paper doi: 10.1109/ACCESS.2020.3010287,,,
Nat Neurosci,"Accuracy, ROC curve, Area Under Curve (AUC)",Modeling behaviorally relevant neural dynamics enabled by preferential subspace identification.,,0,,True,,b3b4561c-e904-4def-89cd-783ff01a3b12,"Waltz database of hexapeptides, classified in amyloidogenic (pos) and nonamyloidogenic (neg). N_pos = 541; N_neg = 901. Dataset used in other papers. Dataset enriched with physicochemical proprieties of amino-acids derived from AAindex. ",2022-09-01T15:16:05.443Z,,,,,Modeling behaviorally relevant neural dynamics enabled by preferential subspace identification.,2022-09-01T15:16:05.443Z,The classiffier is available at: https://pitgroup.org/bap/; the source code is not available.,3318. No feature selection strategy.,,03/16/2022 16:40:33,0.76,Dataset splitted in test set (N_pos = 158; N_neg = 309) and training set (N_pos = 383; N_neg = 592),The two dataset have no overlaps.,03/16/2022 16:40:33,0,"The number of features is huge, but no strategy for overfitting prevention was adopted.",33169030,,Nat Neurosci,dmb4u51v5o,63516fedb9c880af1f305b35,"Sani OG, Abbaspourazad H, Wong YT, Pesaran B, Shanechi MM",Prediction on the test set.,,,,"Sani OG, Abbaspourazad H, Wong YT, Pesaran B, Shanechi MM",No confidence intervals or statistical significance stated.,"Compared with another algorithm, but the comparison is only based on the accuracy.",,10.1038/s41593-020-00733-0,Aminoacid sequences enriched with physicochemical proprieties from AAindex (for each amino-acid),2021,,,Transparent. The support vector machine linearly separates samples based on the physicochemical features of the aminoacids.,Yes. URL for waltz database: http://waltzdb.switchlab.org/,Classification (amyloidogenic or nonamyloidogenic),,
BMC Cancer,Area Under Curve (AUC),Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma.,,0,,True,,0ade3d57-3ebf-4c42-af9c-48b4b4fd2e54,"Dataset 1: Rnot reported-seq data from The Cancer Genome Atlas for different patients affected by different types of cancer. To the end of ML classification, patients where classified as ""High risk"" or ""Low risk"" based on the Overall Survival time. N = 2210; distribution of High risk and Low risk patients not reported Used in other papers.

Dataset 2: Rnot reported-seq data from Therapeutically Applicable Research to Generate Effective Treatments (TARGET) dataset (N = 1122). Used in other papers.

Dataset 3: Rnot reported-seq data from Clinical Proteomic Tumor Analysis Consortium (CPTAC) dataset (N=391). Used in other papers.",2022-09-01T15:16:05.443Z,,,"Yes. Feature selection operated using ML. The set used for feature selection is the same used for the training of the classifier, but the validation for the classifier is operated on independent dataset (Dataset 2 and 3).",,Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma.,2022-09-01T15:16:05.443Z,"Yes, code available at: https://github.com/guoqingbao/PanCancerLncRNA",5 lncRnot reported sequences selected from 731. A ML algorithm based on random forest was used for feature selection. Feature selection was operated on training data only.,Random Forest,02/21/2022 11:17:51,0.76,"Dataset 1 divided in training set (N = 1878) and test set (N = 332). Distribution of High and Low risk patients not reported

Datasets 2 and 3 used as independent test set. Distribution of High and Low risk patients not reported","Dataset splits for Dataset 1 do not overlap. 

Dataset 1, 2 and 3 are independent from each other.",02/21/2022 11:17:51,0,,34372798,,BMC Cancer,agwmu9cbwt,63516fedb9c880af1f305b34,"Li MX, Sun XM, Cheng WG, Ruan HJ, Liu K, Chen P, Xu HJ, Gao SG, Feng XS, Qi YJ",Test set derived from Dataset 1; Independent Datasets 2 and 3.,,,,"Li MX, Sun XM, Cheng WG, Ruan HJ, Liu K, Chen P, Xu HJ, Gao SG, Feng XS, Qi YJ",,The model is not compared with others.,"Yes, the evaluation procedure and code is available at: https://github.com/guoqingbao/PanCancerLncRNA",10.1186/s12885-021-08647-1,No tranformation.,2021,,,Black box,"Dataset 1: URL: https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga

Dataset 2: URL: https://ocg.cancer.gov/programs/target

Dataset 3: URL: https://proteomics.cancer.gov/programs/cptac",,"No, but full code is available.",
IEEE J Biomed Health Inform,"Accuracy, Precision, Sensitivity, F1-Score, Specificity, AUC",COVID-19 Screening in Chest X-Ray Images Using Lung Region Priors.,6 (inferred from the context),0,,True,,628354fa-6ad5-4a13-9ba2-0c5e5b0fd8dc,"Dataset 1: 387 patients labeled as ""survived"" (pos) (N_pos = 335) and ""dead"" (neg) (N_neg = 49).

Dataset 2: 375 patients labeled as ""survived"" (pos) (N_pos = 201) and ""dead"" (neg) (N_neg = 174).

Both datasets used in previous publications.",2022-09-01T15:16:05.443Z,,,,,COVID-19 Screening in Chest X-Ray Images Using Lung Region Priors.,2022-09-01T15:16:05.443Z,"Yes, the code is available at: https://github.com/tawsifur/Mortality-severity-prediction-using-blood-biomarkers","5 selected out of 18. The 5 more relevant feature were selected using chi-square test to identify the feature which significantly differ between the ""pos"" cases and the ""neg"" cases.

It is not clear whether the feature selection was performed just on training data. ",Logistic Regression,02/17/2022 09:36:07,0.81,"Dataset 1 was splitted in two subsets. 80% of the data used for training and validation; 20% of the data used for testing.

Dataset 2 was entirely used for testing",No redundancy between the subsets.,02/17/2022 09:36:07,0,,34388102,,IEEE J Biomed Health Inform,k4k0b6uu1l,63516fedb9c880af1f305b31,"An J, Cai Q, Qu Z, Gao Z",Predictor evaluated on independent datasets,,,,"An J, Cai Q, Qu Z, Gao Z",The performance metrics have confidence intervals. No statistical significance is claimed.,"Compared with Random Forest, Support Vector machine, K-nearest neighbor, XGBoost, and Extra-tree","Yes, it is available at: https://github.com/tawsifur/Mortality-severity-prediction-using-blood-biomarkers",10.1109/JBHI.2021.3104629,"Feature selection (operated on the training set finding the top 5 significant features)
Imputation of missing data points through MICE
Balancing on the dataset (regarding pos and neg cases) through SMOTE",2021,,,Black box,"Dataset 1: publicy available with the publication at doi: https://doi.org/10.1016/j.imu.2019.100275. Dataset splits not reported.

Dataset 2: publicy available with the publication at doi: https://doi.org/10.1101/2020.11.02.365536",Regression (survival probability),"Yes, the 6 parameters resulted from training are reported on the paper",
Nat Commun,,Bioactivity descriptors for uncharacterized chemical compounds.,,0,,True,,91f62631-e353-48e7-b960-4aef0562c730,"4 datasets, 3 form previous papers and 1 original. ",2022-09-01T15:16:05.443Z,,,,,Bioactivity descriptors for uncharacterized chemical compounds.,2022-09-01T15:16:05.443Z,,"Depending on the dataset, from 50 to 5000",Random Forest,02/08/2022 00:18:31,0.43,,,02/08/2022 00:18:31,0,,34168145,,Nat Commun,r23jj6bm7u,63516fedb9c880af1f305b2b,"Bertoni M, Duran-Frigola M, Badia-I-Mompel P, Pauls E, Orozco-Ruiz M, Guitart-Pla O, Alcalde V, Diaz VM, Berenguer-Llergo A, Brun-Heath I, Villegas N, de Herreros AG, Aloy P",,,,,"Bertoni M, Duran-Frigola M, Badia-I-Mompel P, Pauls E, Orozco-Ruiz M, Guitart-Pla O, Alcalde V, Diaz VM, Berenguer-Llergo A, Brun-Heath I, Villegas N, de Herreros AG, Aloy P",,,,10.1038/s41467-021-24150-4,Amplicon Sequence Variants (ASV) used as features in a relative abundance matrix,2021,,,Black box,Yes. Original dataset: https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJnot reported417767,,,
